index,label,split
18582,7,train
18721,7,train
21025,7,train
2711,0,train
3221,1,train
13199,4,train
23448,8,train
2899,0,train
19129,7,train
1042,0,train
9134,3,train
13817,4,train
15792,5,train
25948,9,train
6967,2,train
8883,2,train
618,0,train
3498,1,train
4397,1,train
8618,2,train
9501,3,train
8560,2,train
20277,7,train
21121,7,train
10141,3,train
24481,9,train
12920,4,train
4669,1,train
24534,9,train
22262,8,train
13172,4,train
8051,2,train
23510,8,train
2751,0,train
13912,4,train
13642,4,train
1669,0,train
24103,9,train
16065,6,train
23970,8,train
304,0,train
19365,7,train
5114,1,train
16748,6,train
19544,7,train
10168,3,train
6581,2,train
22920,8,train
16670,6,train
20626,7,train
23518,8,train
11831,4,train
22089,8,train
16915,6,train
26498,9,train
23115,8,train
5554,1,train
131,0,train
1762,0,train
14667,5,train
23315,8,train
5951,1,train
14657,5,train
25528,9,train
406,0,train
25943,9,train
11971,4,train
26701,9,train
19069,7,train
11142,3,train
19851,7,train
22071,8,train
17791,6,train
593,0,train
25503,9,train
381,0,train
347,0,train
9547,3,train
14021,5,train
13487,4,train
26814,9,train
5162,1,train
22268,8,train
12752,4,train
13680,4,train
21863,8,train
2635,0,train
20028,7,train
19752,7,train
9281,3,train
10104,3,train
438,0,train
19012,7,train
15839,5,train
2367,0,train
14493,5,train
9391,3,train
17956,6,train
8408,2,train
6536,2,train
10867,3,train
4600,1,train
12641,4,train
23781,8,train
11181,3,train
5711,1,train
719,0,train
18000,6,train
24386,9,train
13731,4,train
4183,1,train
21621,8,train
2846,0,train
14388,5,train
1846,0,train
23030,8,train
8047,2,train
12661,4,train
24972,9,train
10981,3,train
26002,9,train
24054,9,train
5797,1,train
12933,4,train
20968,7,train
24295,9,train
24440,9,train
25743,9,train
2098,0,train
10341,3,train
20621,7,train
12032,4,train
7046,2,train
2786,0,train
8813,2,train
26812,9,train
17442,6,train
2063,0,train
22416,8,train
5869,1,train
16821,6,train
8986,2,train
5958,1,train
15507,5,train
7458,2,train
20005,7,train
1793,0,train
25340,9,train
23019,8,train
9698,3,train
16127,6,train
19009,7,train
4825,1,train
6672,2,train
22863,8,train
24956,9,train
10236,3,train
17135,6,train
5000,1,train
1936,0,train
1700,0,train
7558,2,train
21860,8,train
16048,6,train
11163,3,train
5411,1,train
19666,7,train
2365,0,train
9161,3,train
18511,7,train
14945,5,train
602,0,train
2812,0,train
8010,2,train
7142,2,train
3629,1,train
23264,8,train
945,0,train
8238,2,train
16239,6,train
23279,8,train
